"ID","date","c.hamilton13_panelr20","c.hamilton20_panelr20","c.hamilton24_panelr20","c.hamilton28_panelr20"
"KR",2006-04-01,-4.00686854279384,2.60106683909143,7.05043233541564,0.735596009557371
"KR",2006-07-01,0.430055615410187,1.8519979843216,5.89632726933632,2.53817590602461
"KR",2006-10-01,4.35570897326626,7.4208626265511,11.6032343467797,12.5184655876429
"KR",2007-01-01,7.52733983488967,5.41695631278457,10.3407651170422,8.11117265223188
"KR",2007-04-01,10.795189808293,5.62255119170064,12.0869060195868,12.8557129194294
"KR",2007-07-01,13.8778573249102,4.20463872357271,8.97952719479033,10.794508096357
"KR",2007-10-01,15.0181408567127,6.31441363953459,12.3109565644828,14.8938288374241
"KR",2008-01-01,20.8746273962016,9.96007849599893,11.5946777793686,14.2481030960752
"KR",2008-04-01,23.0192672154653,14.676375633333,13.5673657950718,18.6623227700676
"KR",2008-07-01,22.6381306622935,17.8938991787922,13.4805831761774,17.7285552719703
"KR",2008-10-01,25.1351281012706,22.3829335087656,17.9469910332433,24.8332498928049
"KR",2009-01-01,25.6117272083926,25.6625294624691,20.2728885298596,20.3297777322334
"KR",2009-04-01,26.4719900152443,29.7418950906371,23.7598495822733,21.3685050890847
"KR",2009-07-01,21.5342188844121,30.0026095861579,24.5843815525588,21.2794849419048
"KR",2009-10-01,17.3603883840393,31.4441888778211,24.6546671306621,20.8254380809412
"KR",2010-01-01,11.4066503272617,27.73225265653,23.991337423203,18.0397817031126
"KR",2010-04-01,9.36809894377678,23.3368056654159,25.3350975445227,18.1308838535856
"KR",2010-07-01,7.28066219357817,21.3949660186322,24.2718588994463,16.8411223884959
"KR",2010-10-01,5.28287358136902,18.0293393638599,24.9507868055194,15.906287563204
"KR",2011-01-01,4.17511855815856,17.042503355137,23.3912745537743,17.530626751878
"KR",2011-04-01,0.581346911630552,12.4635192728751,20.7681707320109,20.2879776134263
"KR",2011-07-01,-0.457752965513331,11.9889445280375,21.5032998454905,21.8093735303799
"KR",2011-10-01,-3.16425007537196,7.95446793728052,19.5088978771848,25.0191452305529
"KR",2012-01-01,-6.24180553760933,7.41669253511258,18.9491698002348,22.9324209956266
"KR",2012-04-01,-5.82952836260711,7.55735851330168,14.327864701636,20.2884369911799
"KR",2012-07-01,-6.1152056390329,8.97567900262123,12.4320816861599,22.5137316280527
