"ID","date","c.hamilton13_panel","c.hamilton20_panel","c.hamilton24_panel","c.hamilton28_panel"
"CH",2008-10-01,-5.05995977638232,-5.59895636549662,2.07175324278941,4.76333520808961
"CH",2009-01-01,3.72906084992734,-1.53893133555967,3.76222709507,6.51789604190698
"CH",2009-04-01,8.14377029134409,4.48864454079555,3.64058839647774,9.47422188705265
"CH",2009-07-01,14.3308793377744,8.04050090333305,7.36994839497495,15.065320499412
"CH",2009-10-01,10.0478261093122,12.7314870159541,7.02456418817631,14.4660316455681
"CH",2010-01-01,18.0315880385137,9.30801888898777,9.20469159969335,14.1142958498788
"CH",2010-04-01,9.9899815104638,5.21712170751104,6.84144368579187,6.25765791279517
"CH",2010-07-01,8.70024994968119,4.92427164477289,7.43622996155946,7.90331954572301
"CH",2010-10-01,9.45909027031822,11.3139052424763,11.3514964041836,5.6578129139446
"CH",2011-01-01,4.26033986711901,11.6476310373536,6.5490432556988,6.65797210743865
"CH",2011-04-01,12.4112942084872,17.7745305693676,8.77758100311774,11.2291877235625
"CH",2011-07-01,14.4092299966139,11.9424830944391,9.51904361300729,12.0287034657874
"CH",2011-10-01,13.6608032365792,19.6807022744292,16.3504761358001,15.847947226294
"CH",2012-01-01,17.8378830056085,16.1698525776425,17.9295506051728,10.4749664638303
"CH",2012-04-01,11.515115111535,16.6467693587672,22.5076411778988,12.8116750549381
"CH",2012-07-01,6.24322705573833,16.7592368190237,16.0010473448467,14.0322479408116
"CH",2012-10-01,6.36196694871715,13.7672879178499,25.270552957576,22.265355256183
"CH",2013-01-01,5.20732226690742,19.4948488658392,20.1768384611004,20.2801301475488
"CH",2013-04-01,2.5902787001385,18.5825926942334,18.5871905030178,22.8355652764345
"CH",2013-07-01,10.1135362274404,16.2972203063288,16.3682617955413,13.4001950965661
"CH",2013-10-01,10.6780475461472,20.7251739084563,12.5003000742639,24.8187433568199
"CH",2014-01-01,8.62721939053829,13.7516848573588,18.6010154895453,18.2807494928242
"CH",2014-04-01,9.60727215371826,9.50245952192615,20.9071258999396,19.8920152843804
"CH",2014-07-01,5.73563189405247,7.12402410843104,20.428598417687,20.6709059801797
"CH",2014-10-01,5.28290218919085,6.28294032444029,23.0259243778748,14.1285227450058
"CH",2015-01-01,4.88426305108096,5.36520651341499,15.9799549987608,21.9894302012508
