"id","date","credit_gap","crisis"
"517","DE",2003-01-01,7.6,1
"518","DE",2003-04-01,7.5,1
"519","DE",2003-07-01,6.4,1
"520","DE",2003-10-01,4.7,1
"521","DE",2004-01-01,1.1,0
"522","DE",2004-04-01,-0.6,0
"523","DE",2004-07-01,-2.1,0
"524","DE",2004-10-01,-3.8,0
"525","DE",2005-01-01,-5.3,0
"526","DE",2005-04-01,-5,0
"527","DE",2005-07-01,-5.5,0
"528","DE",2005-10-01,-6.3,0
"529","DE",2006-01-01,-6.2,0
"530","DE",2006-04-01,-6.2,0
"531","DE",2006-07-01,-6.8,0
"532","DE",2006-10-01,-8.6,0
"533","DE",2007-01-01,-10.9,0
"534","DE",2007-04-01,-11.7,0
"535","DE",2007-07-01,-13.1,1
"536","DE",2007-10-01,-13,1
"537","DE",2008-01-01,-13.8,1
"538","DE",2008-04-01,-13.6,1
"539","DE",2008-07-01,-13,1
"540","DE",2008-10-01,-10.9,1
"541","DE",2009-01-01,-9.3,1
"542","DE",2009-04-01,-7.6,1
"543","DE",2009-07-01,-7.1,1
"544","DE",2009-10-01,-6.4,1
"545","DE",2010-01-01,-7.5,1
"546","DE",2010-04-01,-7.5,1
"547","DE",2010-07-01,-8.2,1
"548","DE",2010-10-01,-9.9,1
"549","DE",2011-01-01,-13.5,1
"550","DE",2011-04-01,-14.1,1
"551","DE",2011-07-01,-13.1,1
"552","DE",2011-10-01,-12.7,1
"553","DE",2012-01-01,-12.7,1
"554","DE",2012-04-01,-11.7,1
"555","DE",2012-07-01,-11.4,1
"556","DE",2012-10-01,-11.2,1
"557","DE",2013-01-01,-10.8,1
"558","DE",2013-04-01,-9.7,1
"559","DE",2013-07-01,-9,0
"560","DE",2013-10-01,-8.7,0
"561","DE",2014-01-01,-9,0
"562","DE",2014-04-01,-8.2,0
"563","DE",2014-07-01,-8.9,0
"564","DE",2014-10-01,-12.5,0
"565","DE",2015-01-01,-11.1,0
"566","DE",2015-04-01,-10.6,0
"567","DE",2015-07-01,-10,0
"568","DE",2015-10-01,-10.2,0
"569","DE",2016-01-01,-9.1,0
"570","DE",2016-04-01,-8.6,0
"571","DE",2016-07-01,-7.8,0
"572","DE",2016-10-01,-7.9,0
"573","DE",2017-01-01,-6.3,0
"574","DE",2017-04-01,-6.2,0
"575","DE",2017-07-01,-5.9,0
"576","DE",2017-10-01,-5.6,0
"577","DK",2000-01-01,7.9,0
"578","DK",2000-04-01,4.8,0
"579","DK",2000-07-01,8.9,0
"580","DK",2000-10-01,7.1,0
"581","DK",2001-01-01,6.8,0
"582","DK",2001-04-01,8.3,0
"583","DK",2001-07-01,10.2,0
"584","DK",2001-10-01,13.6,0
"585","DK",2002-01-01,11.3,0
"586","DK",2002-04-01,10,0
"587","DK",2002-07-01,11.3,0
"588","DK",2002-10-01,9.3,0
"589","DK",2003-01-01,13.1,0
"590","DK",2003-04-01,13.9,0
"591","DK",2003-07-01,14.7,0
"592","DK",2003-10-01,12.5,0
"593","DK",2004-01-01,16.5,0
"594","DK",2004-04-01,16.2,0
"595","DK",2004-07-01,17,0
"596","DK",2004-10-01,17.8,0
"597","DK",2005-01-01,22.3,0
"598","DK",2005-04-01,24.6,0
"599","DK",2005-07-01,26.5,0
"600","DK",2005-10-01,28.8,0
"601","DK",2006-01-01,29.9,0
"602","DK",2006-04-01,29.2,0
"603","DK",2006-07-01,32.8,0
"604","DK",2006-10-01,34.8,0
"605","DK",2007-01-01,34.3,0
"606","DK",2007-04-01,33.4,0
"607","DK",2007-07-01,34,0
"608","DK",2007-10-01,36,0
"609","DK",2008-01-01,33.9,1
"610","DK",2008-04-01,31.7,1
"611","DK",2008-07-01,30,1
"612","DK",2008-10-01,30.4,1
"613","DK",2009-01-01,31.5,1
"614","DK",2009-04-01,32.2,1
"615","DK",2009-07-01,33.7,1
"616","DK",2009-10-01,33,1
"617","DK",2010-01-01,31.5,1
"618","DK",2010-04-01,24.7,1
"619","DK",2010-07-01,17.5,1
"620","DK",2010-10-01,10.8,1
"621","DK",2011-01-01,7.7,1
"622","DK",2011-04-01,5.7,1
"623","DK",2011-07-01,9,1
"624","DK",2011-10-01,8.8,1
"625","DK",2012-01-01,8.7,1
"626","DK",2012-04-01,6.5,1
"627","DK",2012-07-01,1.5,1
"628","DK",2012-10-01,1.5,1
"629","DK",2013-01-01,-2.2,1
"630","DK",2013-04-01,-5.5,1
"631","DK",2013-07-01,-7.9,1
"632","DK",2013-10-01,-14.8,1
"633","DK",2014-01-01,-15.7,0
"634","DK",2014-04-01,-18.8,0
"635","DK",2014-07-01,-15.2,0
"636","DK",2014-10-01,-17.1,0
"637","DK",2015-01-01,-17.7,0
"638","DK",2015-04-01,-21.2,0
"639","DK",2015-07-01,-19.7,0
"640","DK",2015-10-01,-21.1,0
"641","DK",2016-01-01,-21.9,0
"642","DK",2016-04-01,-21.4,0
"643","DK",2016-07-01,-20.1,0
"644","DK",2016-10-01,-24.5,0
"645","DK",2017-01-01,-27.1,0
"646","DK",2017-04-01,-29.7,0
"647","DK",2017-07-01,-30.4,0
"648","DK",2017-10-01,-31.1,0
"649","ES",2000-01-01,22.1,0
"650","ES",2000-04-01,24.3,0
"651","ES",2000-07-01,26.6,0
"652","ES",2000-10-01,26.8,0
"653","ES",2001-01-01,25.6,0
"654","ES",2001-04-01,26.7,0
"655","ES",2001-07-01,27.9,0
"656","ES",2001-10-01,27.8,0
"657","ES",2002-01-01,27.7,0
"658","ES",2002-04-01,27,0
"659","ES",2002-07-01,25.2,0
"660","ES",2002-10-01,25.8,0
"661","ES",2003-01-01,24.9,0
"662","ES",2003-04-01,25,0
"663","ES",2003-07-01,24.5,0
"664","ES",2003-10-01,26.8,0
"665","ES",2004-01-01,26.8,0
"666","ES",2004-04-01,29,0
"667","ES",2004-07-01,28.1,0
"668","ES",2004-10-01,29.8,0
"669","ES",2005-01-01,30.3,0
"670","ES",2005-04-01,33.1,0
"671","ES",2005-07-01,32.2,0
"672","ES",2005-10-01,34.6,0
"673","ES",2006-01-01,37,0
"674","ES",2006-04-01,38.5,0
"675","ES",2006-07-01,38.7,0
"676","ES",2006-10-01,41.3,0
"677","ES",2007-01-01,40.5,0
"678","ES",2007-04-01,44,0
"679","ES",2007-07-01,41.7,0
"680","ES",2007-10-01,39.7,0
"681","ES",2008-01-01,34.9,0
"682","ES",2008-04-01,34.1,0
"683","ES",2008-07-01,31.4,0
"684","ES",2008-10-01,29.5,0
"685","ES",2009-01-01,28.4,1
"686","ES",2009-04-01,27.3,1
"687","ES",2009-07-01,25.7,1
"688","ES",2009-10-01,23.7,1
"689","ES",2010-01-01,21.3,1
"690","ES",2010-04-01,20.8,1
"691","ES",2010-07-01,16,1
"692","ES",2010-10-01,12,1
"693","ES",2011-01-01,7,1
"694","ES",2011-04-01,4.4,1
"695","ES",2011-07-01,0.7,1
"696","ES",2011-10-01,-2.3,1
"697","ES",2012-01-01,-3.9,1
"698","ES",2012-04-01,-5.6,1
"699","ES",2012-07-01,-8.6,1
"700","ES",2012-10-01,-17.6,1
"701","ES",2013-01-01,-21.2,1
"702","ES",2013-04-01,-24.1,1
"703","ES",2013-07-01,-27.1,1
"704","ES",2013-10-01,-29.8,1
"705","ES",2014-01-01,-33.5,0
"706","ES",2014-04-01,-34.6,0
"707","ES",2014-07-01,-36.9,0
"708","ES",2014-10-01,-41.4,0
"709","ES",2015-01-01,-41.5,0
"710","ES",2015-04-01,-45,0
"711","ES",2015-07-01,-47.7,0
"712","ES",2015-10-01,-49.8,0
"713","ES",2016-01-01,-52.1,0
"714","ES",2016-04-01,-50.7,0
"715","ES",2016-07-01,-52,0
"716","ES",2016-10-01,-52.2,0
"717","ES",2017-01-01,-51.4,0
"718","ES",2017-04-01,-51.3,0
"719","ES",2017-07-01,-52.5,0
"720","ES",2017-10-01,-53.8,0
"721","FI",2000-01-01,-16.4,0
"722","FI",2000-04-01,-14.5,0
"723","FI",2000-07-01,-8.5,0
"724","FI",2000-10-01,-7.8,0
